id,cons_12m,cons_gas_12m,cons_last_month,forecast_discount_energy,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,num_years_antig,pow_max,AVG_VARIABLE,AVG_FIXED,origin_up_MISSING,origin_up_ewxeelcelemmiwuafmddpobolfuxioce,origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,origin_up_ldkssxwpmemidmecebumciepifcamkci,origin_up_lxidpiddsbxsbosboudacockeimpuepw,origin_up_usapbepcfoloekilkwsdiboslwaxobdp,channel_sales_MISSING,channel_sales_epumfxlbckeskwekxbiuasklxalciiuu,channel_sales_ewpakwlliwisiwduibdlfmalxowmwpci,channel_sales_fixdbufsefwooaasfcxdxadsiekoceaa,channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,channel_sales_lmkebamcaaclubfxadlmueccxoimlema,channel_sales_sddiedcslfslkckwlfkdpoeeailfpeds,channel_sales_usilxuppasemubllopkaafesmlibmsdf,offpeak_diff_dec_january_energy,offpeak_diff_dec_january_power,churn
24011ae4ebbe3035111d65fa7c15bc57,0,54946,0,0.0,25.44,25.44,2,3,43.648,0.1010403333333333,27.687958160000004,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.02005699999999999,3.7009605600000057,1.0
d29c2c54acc38ff3c0614d0a653813dd,4660,0,0,0.0,16.38,16.38,1,6,13.8,0.1494835,44.35581996,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.0037669999999999926,0.17777879999999868,0.0
764c75f661154dac3a6c254cd082ea7d,544,0,0,0.0,28.6,28.6,1,6,13.856,0.12944875,44.44470996,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.0046700000000000075,0.17777879999999868,0.0
bba03439a292a1e166f80264c16191cb,1584,0,0,0.0,30.22,30.22,1,6,13.2,0.1508169999999999,44.44470996,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.0045469999999999955,0.17777879999999868,0.0
149d57cf92fc41cf94415803a877cb4b,4425,0,526,0.0,44.91,44.91,1,6,19.8,0.1004966666666666,27.15259,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.006191999999999989,0.16291560000000516,0.0
1aa498825382410b098937d65c4ec26d,8302,0,1998,0.0,33.12,33.12,1,4,13.2,0.1272017499999999,44.26692996,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.00808700000000001,-1.1999999998124622e-06,1.0
7ab4bf4878d8f7661dfc20e9b8e18011,45097,0,0,0.0,4.04,4.04,1,4,15.0,0.1251782499999999,44.26692996,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.004628000000000104,0.0,1.0
01495c955be7ec5e7f3203406785aae0,29552,0,1260,0.0,53.92,53.92,1,6,26.4,0.0997913333333333,27.15259,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.007801000000000002,0.16291560000000516,0.0
f53a254b1115634330c12c7fdbf7958a,2962,0,0,0.0,12.82,12.82,1,4,13.2,0.1494835,44.35581996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.0037669999999999926,0.17777879999999868,0.0
10c1b2f97a2d2a6f10299dc213d1a370,26064,0,2188,0.0,33.42,33.42,1,6,31.5,0.1003713333333333,27.15259,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.0071370000000000045,0.0,0.0
d5e512dbc8118a830a7b8c7f61d89992,10831,0,3112,0.0,14.52,14.52,1,5,11.5,0.1267315,44.35581996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.0015469999999999928,0.17777879999999868,0.0
6ee77a019251bcc304c88167e0dfcb4c,4442,0,2489,0.0,21.09,21.09,1,6,10.392,0.12932925,45.44471016,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.0014959999999999973,2.1777792000000034,0.0
2c05848e1a577dd041ea6804bbf5bbf5,46121,1542867,5280,0.0,5.52,5.52,2,4,16.5,0.0994856666666666,27.71511156,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.007016000000000008,0.16291560000000516,0.0
21860c2ff2d5df75503b230ce629c253,7726,0,0,0.0,33.12,33.12,1,3,13.2,0.1274509999999999,44.35581996,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.00815200000000002,0.17777879999999868,0.0
c5037389dd8be351d3c40f2973da2391,9707,0,0,0.0,15.78,15.78,1,5,13.856,0.1251782499999999,44.26692996,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.004628000000000104,-1.1999999998124622e-06,0.0
e4773b60d2e68aac94795782abfc006b,47019,0,3161,0.0,19.28,19.28,1,4,10.392,0.149019,44.44470996,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.0034229999999998983,0.17777879999999868,0.0
bd14bbac3aca710ee5288fcd8511d4bb,786536,80583,85883,0.0,25.68,25.68,2,6,11.4,0.12720125,44.26692996,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.004194000000000003,-1.1999999998124622e-06,0.0
4e4a34a6d91ff25d0fdf68733907ad44,30776,0,0,0.0,19.29,19.29,1,5,25.0,0.09676,27.098284,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.007666000000000006,0.16291560000000516,0.0
f2b93783adecf0d0d8d60ab547bda3de,24838,0,2877,0.0,21.57,21.57,1,5,15.001,0.0997913333333333,27.15259,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.007801000000000002,0.16291560000000516,0.0
47e976c5d7f1ee1fee6d60ca39fd0218,15411,0,0,0.0,23.97,23.97,1,4,13.0,0.149831,44.44470996,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.0037669999999999926,0.17777879999999868,0.0
db6ac41fb6972374f28bc6f8e43b9764,16782,0,1908,0.0,6.6,6.6,2,6,19.8,0.1001175,27.098284,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.009328000000000017,0.16291560000000516,0.0
bee0c7e972180fbee50c2ea15b12965c,26987,0,4099,0.0,47.35,47.35,1,5,35.0,0.1022373333333333,27.15259,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.008497000000000005,0.16291560000000516,0.0
78014630fbac3e6aa980361d25cea748,20560,0,3804,0.0,4.14,4.14,1,3,11.0,0.147097,44.35581996,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.0017409999999999926,0.1777799999999985,0.0
5789c446141a44a9b405db35682f6eb5,12157,0,0,0.0,23.4,23.4,2,3,10.392,0.1248062499999999,44.44470996,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.006420000000000092,0.17777879999999868,0.0
ed5bc499fecb8eee257857fd286ebd65,13122,0,0,0.0,3.56,3.56,1,6,13.2,0.1467455,44.35581996,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.004444999999999977,0.17777879999999868,0.0
389bbbe70248fbeecdf9bb1bd0d1da04,3584,0,322,0.0,57.72,57.72,1,5,23.1,0.1001175,27.348284200000005,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.009328000000000017,0.6629160000000098,1.0
31615bef53242dfedeaf275214044ca1,2632,0,0,0.0,14.64,14.64,1,6,10.392,0.1494835,44.35581996,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.0037669999999999926,0.17777879999999868,0.0
74ff037708f036de5745ce34d8d9d4df,4792,0,0,0.0,19.42,19.42,1,4,12.5,0.1484845,44.26692996,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.007920999999999984,-1.1999999998124622e-06,0.0
7287dad2f1f535d03435ea7c78b557c4,7950,0,1100,0.0,20.0,20.0,1,6,15.01,0.1001175,27.2649508,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.009328000000000017,0.4962492000000083,0.0
26c7bba7d51f86a16109de505bcd4f52,1856956,41883,164355,0.0,43.44,43.44,2,5,29.0,0.1001175,27.0982848,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.009328000000000017,0.16291560000000516,0.0
44e826a55734d0ca5eeafcae0e991a75,324,0,0,0.0,18.62,18.62,2,7,13.2,0.1467574999999999,44.35581996,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.005163999999999891,0.17777879999999868,1.0
4bffd9d74bfb770ef7763e8e4e88dfc3,2103,0,0,30.0,27.96,27.96,2,4,10.392,0.1762935,45.35582016,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.04769699999999999,2.1777792000000034,0.0
2d9d0546d83c60ed3d5728d744d65c40,19593,0,0,0.0,17.45,17.45,1,4,13.856,0.146936,44.35581996,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.0037780000000000036,0.17777879999999868,0.0
79d29481ee261caf08387bcef9e4346d,41814,0,4159,0.0,10.16,10.16,1,3,30.45,0.1009565,27.15259,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.008554999999999993,0.0,0.0
044d071a5dbc2668cddad4f2b28c91d1,37969,0,3407,0.0,44.64,44.64,1,11,33.0,0.0992113333333333,27.15259,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.008502999999999983,0.16291560000000516,0.0
af87b64523cf1f4f4a681e2cc44c8629,41214,0,3538,0.0,3.72,3.72,1,4,19.8,0.1009566666666666,27.15259,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.0108769999999999,0.0,0.0
9403f3f9ff06ec9e49db8255ede2b098,2012791,0,218619,0.0,21.52,21.52,1,5,13.2,0.1484994999999999,44.35581996,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.0034229999999998983,0.17777879999999868,0.0
51a7edcf29ed04830da6b3ee79f9e508,20429,0,0,0.0,60.39,60.39,1,6,26.6,0.1039786666666666,27.15259,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.006756000000000012,0.16291560000000516,0.0
d9260de11c54a215fa7363f603bbeaf6,5957,0,794,0.0,24.4,24.4,1,6,15.0,0.1494835,44.35581996,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.0037669999999999926,0.17777879999999868,0.0
a853b52e3992aa2df0870fe42d843a65,6047,0,0,0.0,17.13,17.13,1,4,10.392,0.1509225,45.10581996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.003044999999999992,1.6777787999999987,0.0
91607f6e0ed7143ab1a5b2abc20f1c00,1938393,0,312684,0.0,11.95,11.95,1,3,13.85,0.146936,44.35581996,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.0037780000000000036,0.17777879999999868,0.0
757ea31873662fe77d60e8c4f736a1ec,9141,0,1592,0.0,29.5,29.5,1,4,13.856,0.14749,45.10581996,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.043550000000000005,-1.4940011999999996,0.0
d53f9011d82ed1f4850d0d312d04468b,4259,0,0,0.0,14.64,14.64,1,4,10.392,0.1474589999999999,44.35581996,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0013419999999998988,0.17777879999999868,0.0
af47b8ea9a596c200ee39128a95738f9,12199,0,0,0.0,23.4,23.4,1,5,10.392,0.1494039999999999,44.26692996,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.002031000000000005,-1.1999999998124622e-06,0.0
f8943edfeb1783f3793d3abc6305c1e3,13859,0,0,0.0,30.22,30.22,1,5,13.2,0.1508169999999999,44.44470996,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.0045469999999999955,0.17777879999999868,0.0
adfec8a906dfa5c6d836231e65825539,110534,0,7546,0.0,32.1,32.1,1,4,26.61,0.1015323333333333,27.15259,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.007793999999999995,0.16291560000000516,0.0
34f2d4431b7db25cd660b098acf3d3a0,79090,0,3319,0.0,12.36,12.36,1,6,19.8,0.0984343333333333,27.098284,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.008961999999999998,0.16291560000000516,0.0
